arrival_orders,box_numbers,horse_numbers,horse_names,horse_ids,horse_sexes,horse_ages,jockey_weights,jockey_names,goal_times,goal_margins,order_transitions,half_times,odds,popularities,horse_weights,horse_weight_diffs,trainer_names,horse_owners,earn_prizes,name,race_number,course_type,course_direction,course_length,weather,course_condition,race_start_time,held_date,held_place,held_number,held_date_number,explanation
8,8,9,ミカファンギン,2018100201,牝,3,54,山崎良,1:18.6,1/2,2-2,41.5,85.2,10,430,0,[地]橋本和馬,高田勇三,,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
9,5,5,ヒストリー,2018103940,牡,3,56,中村尚平,1:18.8,1.1/4,6-6,41.2,57.1,8,467,0,[地]庄子昭彦,佐藤良男,,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
10,6,6,ケイアイタイム,2018103816,セ,3,56,安藤洋一,1:22.0,大,10-10,42.5,66.7,9,516,0,[地]立花伸,亀田和弘,,3歳　新馬,4,ダ,右,1200,曇,良,12:10,2021年1月18日,大井,16,1,(別定)
1,5,7,キタノユニヴァース,2017103033,牡,4,56,笹川翼,1:43.1,,1-1-1-1,39.5,2.5,1,505,-1,[地]佐野謙二,シグラップ・マネジメ,80.0,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
2,2,2,エルスネル,2017105107,牡,4,56,森泰斗,1:43.6,2.1/2,3-4-3-3,39.6,4.1,2,439,+5,[地]市村誠,八嶋長久,32.0,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
3,6,9,サーブルルミエール,2017102274,牡,4,56,達城龍次,1:43.6,クビ,2-2-2-2,39.9,7.1,4,454,-6,[地]栗田裕光,鶴谷義雄,20.0,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
4,1,1,ユーシオ,2017102711,牡,4,56,藤本現暉,1:44.0,2,6-6-5-5,39.6,17.6,6,459,+7,[地]村上頼章,北浦博樹,12.0,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
5,3,4,ストームフレイバー,2014100526,牡,7,56,吉井章,1:44.1,1/2,8-8-7-6,39.4,18.2,7,485,+1,[地]月岡健二,尾田信夫,8.0,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
6,4,5,ラグラシオーサ,2017110032,牡,4,56,和田譲治,1:44.7,3,4-3-4-4,41.0,8.3,5,532,-3,[地]藤田輝信,ゴドルフィン,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
7,8,14,リバーサルフィルム,2014106096,牡,7,56,江里口裕,1:45.0,1.1/2,10-10-10-8,39.9,54.0,10,510,+2,[地]小野寺晋,大塚謹吾,,C3九　十,5,ダ,右,1600,晴,良,12:40,2021年1月18日,大井,16,1,(別定)
